day	دن
observable	قابل امتیاز
observable	ممتاز
door	دوار
door	دروازہ
The Seven Wonders of the World	سات عجائبات عالم
remind	یاد دلانا
Lhotse	لہوٹسے
teachings	تعلایمات
teaching	درس و تدریس
teaching	درس
teacher	استاد
tea maker	چھلنی
team	جماعت
team	جتھہ
teal	مرغ ابی
teapoy	سہ پائ
teapot	چائے دانی
misunderstand	غلط سمجھنا
mistake	غلط
mistake	غلطی
mistake	غلط فہمی
captivity	اسیری
captivity	گرفتاری
captivated	گرفتار
captivated	محو
captive	گرفتار
captive	قیدی
captivating	سحر انگیز
captive	اسیر
captivating	دل فریب
captivating	دل ربا
ytterbium	یٹّربیئم
leniency	نرمی
leniency	رحم
leniency	رعایت
leniency	شفاقت
lenient	دل نواز
lenient	حلیم
lenient	لطیف
lenient	نرم
lenient	شفیق
lens	عدسہ
Manchester United F.C.	مانچسٹر یونائیٹڈ
copulate	جڑنا
copulate	جفتی کھانا
copulate	اجمائع کرنا
copula	بندھن
copula	بند
copra	نار یل
copra	کھوپڑا
copulation	وسل
copulation	جمائع
important	اہم
bishop	اونٹ
granary	غلہ گدام
John Bunyan	جان بن ین
lilac	بکاین
unequalled	بے نظیر
unequalled	بے مسل
unequalled	لا ثانی
unequalled	فائق
unequalled	طاق
unequalled	نرالی
unequalled	یکتا
unequalled	یگانہ
unequivocal	بالکل واضح
unequivocal	بلا شک و شبہ
papaya	پپیتا
floor	زمین
river	دریا
river	ندی
road	سڑک
red	لال
religion	دین
haze	کہر
hazel	فندق
haziness	دھندلا پن
hazy	ابتر
hazardous undertaking	جوکھم
haze	ابہام
haze	دھند
haze	دھندلا پن
hazy	دھندلا
hazy	مبہم
indelicate	بے باک
indemnify	ڈنڈ دینا
exaggeration	بناوٹ
exaggerate	پل باندھنا
exactly	بالکل ویسا ہی
exactly	ہوبہو
exaggerate	مباغہ کرنا
exaggerate	حاشیہ چڑھانا
exactitude	موزونیت
exactitude	صحت
exactly	بہ جنسی
exactitude	مطابقت
interior	گھریلو
interior	خانگی
interfusion	امتزاج
interfusion	ملاوٹ
interim	درمیانی
interim	ہنگامی
interim	ما بین
interim	عبوری
interior	اندرونی
interior	داخلی
iron rod	سلاخ
iron out	ہم وار کرنا
iron out	درست کرنا
ironically	استہذائ سے
ironical	طعن آمیز
ironical	استہذائ
ironsmith	اہن گر
ironically	طنزاً
ironically	طعن آمیزی سے
abricock	زرد آلو
apricot tree	زرد آلو
Kuwait	کویت
habit	لٹک
habit	کردار
habit	خو
habit	ڈھب
habit	روش
habit	قاعدہ
habit	معمول
master	ماسٹر
mask	ماسک پہنائیں
beyond	پرے
beyond	دور
beyond	پرے
beyond	ورا
bezzel	ہڑپ کرنا
biannual	دو سالہ
augment	پھلانا
augment	بڑا کرنا
diploma	سند
dip	گہرائ
dip	ڈبکی
dip	ڈوبنا
dip	غوطہ دینا
dip	ڈبونا
immanent	ذہنی
subjective	ذہنی
DNA	ڈی این اے
DVD	ڈی وی ڈی
Jammu and Kashmir	جموں اور کشمیر
Jammu	جموں
Jammu	جموں
Aeschylus	ایس کلس
tough	مشکل
tough	پائے دار
tough	چیمڑ
tough	ہٹا کٹا
touchy	نازک مزاج
touchy	ذود رنج
spouse	پتنی
spouse	بيوی
wife	پتنی
wife	بيوی
opt	چننا
amazed	متحیر
amazed	حیران
amateurish	کچا
amateur	کچا
amature	پرستار
market	سوق
market	منڈی
marked	نمایاں
marked	ممتاز
mark	رقم کرنا
mark	قلم بند کرنا
market	گنج
market	بازار
marker	نشان لگانے والا
marked	واضح
predictor	پیشین گو
Ukrainian	یُوکراینی
whole	پورا
whoever	جو بھی
whodunit	راز
whole	کامل
who	جو
who?	کس
whodunit	بھید
who	کہ
cover	ڈھکن
lid	ڈھکن
top	ڈھکن
bookhouse	کتب خانه
library	کتب خانه
Thoth	تعلم
Thoth	یوگیتا
acquest	تعلم
acquest	یوگیتا
acquist	تعلم
acquist	یوگیتا
apprenticeship	تعلم
apprenticeship	یوگیتا
dopamine	تعلم
dopamine	یوگیتا
learning	تعلم
learning	یوگیتا
machine learning	تعلم
machine learning	یوگیتا
mathesis	تعلم
mathesis	یوگیتا
quicken	تیز دوڑانا
quicken	جلانا
quickness	تیزی
quickness	پھرتی
quickness	جلدی
quickness	حاضر دماغی
quickness	عجلت
quickness	طراری
quickness	سرعت
quickness	تیز فہمی
ox	بیل
sheep	مادہ بھیڑ
ram	نر بھیڑ
brinjarry	بنجارا
brink	کنارا
bring up	پرورش کرنا
bringing up	غور و پر داخت
bringing up	پرورش
brinjal	بینگن
brinjal	بھانٹا
Bogota	بگوٹا
Bogota	بوگوٹا
wind	پون
wind	ہوا
wheeze	دم پھولنا
window	کھڑکی
life	حیات
life	جان
life	حال
life	ہستی
life	روح
life	جنم
life	جیون
life	وجود
life	زندگی
lamp	چراغ
lamp	چراغ
Paki	پاکستانی
Pakistani	پاکستانی
catch	پکڑنا
amend	تبدیل کرنا
amending	تصرف
amelioration	بہتری
ameliorate	بہتر بنانا
ameliorate	بہتر کرنا
ambrosia	عنبریا
ambush	گھات
ambitious	جاہ طلب
ambitious	خواہش مند
bird	پرندہ
bird	پکھیرو
bird	پنچھی
bird	پکشی
bird	چڑیا
Russian roubles	روسی روبل
Russian rubles	روسی روبل
Sialkot	سیالکوٹ
Malagasy Ariary	ملاگاسی اریاری
Iraq	عراق
Republic of Iraq	عراق
Shia crescent	عراق
axis of evil	عراق
Anand	انڈیا
Anand	بهارت
Anand	بھارت
Anand	ہندوستان
Bangla	انڈیا
Bangla	بهارت
Bangla	بھارت
Bangla	ہندوستان
Bhubaneswar	انڈیا
Bhubaneswar	بهارت
Bhubaneswar	بھارت
Bhubaneswar	ہندوستان
Bombay	انڈیا
Bombay	بهارت
Bombay	بھارت
Bombay	ہندوستان
Dehradun	انڈیا
Dehradun	بهارت
Dehradun	بھارت
Dehradun	ہندوستان
Golconda	انڈیا
Golconda	بهارت
Golconda	بھارت
Golconda	ہندوستان
Haora	انڈیا
Haora	بهارت
Haora	بھارت
Haora	ہندوستان
India	انڈیا
India	بهارت
India	بھارت
India	ہندوستان
Jammu	انڈیا
Jammu	بهارت
Jammu	بھارت
Jammu	ہندوستان
Jodhpur	انڈیا
Jodhpur	بهارت
Jodhpur	بھارت
Jodhpur	ہندوستان
Lashkar	انڈیا
Lashkar	بهارت
Lashkar	بھارت
Lashkar	ہندوستان
Sikar	انڈیا
Sikar	بهارت
Sikar	بھارت
Sikar	ہندوستان
Singh	انڈیا
Singh	بهارت
Singh	بھارت
Singh	ہندوستان
Taj Mahal	انڈیا
Taj Mahal	بهارت
Taj Mahal	بھارت
Taj Mahal	ہندوستان
Trivandrum	انڈیا
Trivandrum	بهارت
Trivandrum	بھارت
Trivandrum	ہندوستان
mofussil	انڈیا
mofussil	بهارت
mofussil	بھارت
mofussil	ہندوستان
Isle of Man	آئل آف مین
Mann	آئل آف مین
Agrigento	اطالیہ
Agrigento	اٹلی
Alessandria	اطالیہ
Alessandria	اٹلی
Ancona	اطالیہ
Ancona	اٹلی
Aosta	اطالیہ
Aosta	اٹلی
Arezzo	اطالیہ
Arezzo	اٹلی
Ascoli Piceno	اطالیہ
Ascoli Piceno	اٹلی
Asiago	اطالیہ
Asiago	اٹلی
Asti	اطالیہ
Asti	اٹلی
Avellino	اطالیہ
Avellino	اٹلی
Axis	اطالیہ
Axis	اٹلی
Axis Powers	اطالیہ
Axis Powers	اٹلی
Bari	اطالیہ
Bari	اٹلی
Belluno	اطالیہ
Belluno	اٹلی
Benevento	اطالیہ
Benevento	اٹلی
Bergamo	اطالیہ
Bergamo	اٹلی
Biella	اطالیہ
Biella	اٹلی
Bolzano	اطالیہ
Bolzano	اٹلی
Brescia	اطالیہ
Brescia	اٹلی
Brindisi	اطالیہ
Brindisi	اٹلی
Cagliari	اطالیہ
Cagliari	اٹلی
Campobasso	اطالیہ
Campobasso	اٹلی
Caserta	اطالیہ
Caserta	اٹلی
Catania	اطالیہ
Catania	اٹلی
Catanzaro	اطالیہ
Catanzaro	اٹلی
Chieti	اطالیہ
Chieti	اٹلی
Como	اطالیہ
Como	اٹلی
Cosenza	اطالیہ
Cosenza	اٹلی
Cremona	اطالیہ
Cremona	اٹلی
Crotone	اطالیہ
Crotone	اٹلی
Cuneo	اطالیہ
Cuneo	اٹلی
Enna	اطالیہ
Enna	اٹلی
Ferrara	اطالیہ
Ferrara	اٹلی
Foggia	اطالیہ
Foggia	اٹلی
Forli	اطالیہ
Forli	اٹلی
Forlì-Cesena	اطالیہ
Forlì-Cesena	اٹلی
France	اطالیہ
France	اٹلی
Frosinone	اطالیہ
Frosinone	اٹلی
Gorizia	اطالیہ
Gorizia	اٹلی
Grosseto	اطالیہ
Grosseto	اٹلی
Imperia	اطالیہ
Imperia	اٹلی
Isernia	اطالیہ
Isernia	اٹلی
Italian Republic	اطالیہ
Italian Republic	اٹلی
Italy	اطالیہ
Italy	اٹلی
La Spezia	اطالیہ
La Spezia	اٹلی
Latina	اطالیہ
Latina	اٹلی
Lecce	اطالیہ
Lecce	اٹلی
Lecco	اطالیہ
Lecco	اٹلی
Livorno	اطالیہ
Livorno	اٹلی
Lodi	اطالیہ
Lodi	اٹلی
Lucca	اطالیہ
Lucca	اٹلی
Macerata	اطالیہ
Macerata	اٹلی
Mantua	اطالیہ
Mantua	اٹلی
Massa Carrara	اطالیہ
Massa Carrara	اٹلی
Matera	اطالیہ
Matera	اٹلی
Messina	اطالیہ
Messina	اٹلی
Modena	اطالیہ
Modena	اٹلی
Novara	اطالیہ
Novara	اٹلی
Nuoro	اطالیہ
Nuoro	اٹلی
Oristano	اطالیہ
Oristano	اٹلی
Parma	اطالیہ
Parma	اٹلی
Perugia	اطالیہ
Perugia	اٹلی
Pesaro	اطالیہ
Pesaro	اٹلی
Pesaro e Urbino	اطالیہ
Pesaro e Urbino	اٹلی
Pescara	اطالیہ
Pescara	اٹلی
Piacenza	اطالیہ
Piacenza	اٹلی
Pistoia	اطالیہ
Pistoia	اٹلی
Pordenone	اطالیہ
Pordenone	اٹلی
Potenza	اطالیہ
Potenza	اٹلی
Prato	اطالیہ
Prato	اٹلی
Ragusa	اطالیہ
Ragusa	اٹلی
Reggio Calabria	اطالیہ
Reggio Calabria	اٹلی
Reggio Emilia	اطالیہ
Reggio Emilia	اٹلی
Reggio nell’Emilia	اطالیہ
Reggio nell’Emilia	اٹلی
Rieti	اطالیہ
Rieti	اٹلی
Rimini	اطالیہ
Rimini	اٹلی
Rovigo	اطالیہ
Rovigo	اٹلی
Sabellian	اطالیہ
Sabellian	اٹلی
Salerno	اطالیہ
Salerno	اٹلی
Sassari	اطالیہ
Sassari	اٹلی
Savona	اطالیہ
Savona	اٹلی
Siena	اطالیہ
Siena	اٹلی
Soave	اطالیہ
Soave	اٹلی
Sondrio	اطالیہ
Sondrio	اٹلی
Spello	اطالیہ
Spello	اٹلی
Taranto	اطالیہ
Taranto	اٹلی
Teramo	اطالیہ
Teramo	اٹلی
Terni	اطالیہ
Terni	اٹلی
Trapani	اطالیہ
Trapani	اٹلی
Trento	اطالیہ
Trento	اٹلی
Treviso	اطالیہ
Treviso	اٹلی
Trieste	اطالیہ
Trieste	اٹلی
Udine	اطالیہ
Udine	اٹلی
Urbino	اطالیہ
Urbino	اٹلی
Varese	اطالیہ
Varese	اٹلی
Ventimiglia	اطالیہ
Ventimiglia	اٹلی
Verbano-Cusio-Ossola	اطالیہ
Verbano-Cusio-Ossola	اٹلی
Vercelli	اطالیہ
Vercelli	اٹلی
Vibo Valentia	اطالیہ
Vibo Valentia	اٹلی
Vicenza	اطالیہ
Vicenza	اٹلی
Viterbo	اطالیہ
Viterbo	اٹلی
Walser	اطالیہ
Walser	اٹلی
acqua alta	اطالیہ
acqua alta	اٹلی
florin	اطالیہ
florin	اٹلی
franco	اطالیہ
franco	اٹلی
italy	اطالیہ
italy	اٹلی
mirliton	اطالیہ
mirliton	اٹلی
tricolour	اطالیہ
tricolour	اٹلی
Iceland	آئس لینڈ
Republic of Iceland	آئس لینڈ
Eshtehardi	ایران
Iran	ایران
Islamic Republic of Iran	ایران
Kurd	ایران
Lavasan	ایران
Persia	ایران
Shirgah	ایران
Hashemite Kingdom of Jordan	اردن
Jordan	اردن
some	کچھ
some	کوئی
somebody	کوئی
Alexander Graham Bell	الیگزنڈر گراہم بیل
product	حاصل ضرب
expansion	وسعت
expansion	کشادگی
expanse	وسعت
expanse	پھیلاؤ
expanse	کشادگی
expanded	کھلا
expand	پھیلانا
expand	پسارنا
expand	بڑھانا
exoteric	سادہ
transverse	پار کرنا
sunshade	سائبان
sunset	شام
sunshine	اجالا
sunshine	دھوپ
superficial	بالائ
superb	عالی
superficial	سر سری
New Caledonia	نیو کیلیڈونیا
Nicaragua	نکاراگوا
snowcap	نکاراگوا
Corpus Christi College	کانپس کرسٹی کالج
unique	فرید
unique	بے نظیر
union	پیوست
union	اتحاد
union	یگانگت
union	شیرذہ بندی
unique	عجیب
unique	اچھوتا
unique	بے مثل
unique	انوکھا
quits	برابر
quits	معاملہ صاف
quiver	تر کش
eleven	گیارہ
Serb	صربی
Serbian	صربی
United Nations	اقوام متحدہ
red	لال
red	سرخ
Uthman	عثمان رضی اللہ عنہ
horizontal	افقی
nose	نتھنے
nose	سونگھنا
nose	جھانکنا یا دخل دینا
compulsion	تاکید
compulsion	مجبوری
compulsion	جبر
compromise	سمجھوتا
compromise	سمجھوتا کرنا
comprising	شامل
comprising	مشتمل
comprise	مشتمل ہونا
compulsive	عادی
compulsion	ضرورت
crop	کراپ کریں
cross hatch	متقاطع سنبھال
body	شریر
body	جسم
body	تن
body	دیہ
body	بدن
patrol	گشت کرنا
patriotism	حبب ال وطنی
patriarch	مجتہد
patriarch	بزرگ خاندان
patrimony	وراثت
patrimony	میراث
patriot	وطن پرست
patriot	حبب ال وطن
patriotic	وطن دوست
patriotic	محبب وطن
Kabul	کابل
enough	bus
immortality	لا فانیت
moustache	مونچھ
whisker	مونچھ
lotus	کمل
tart	طوائف
Gupta Empire	گپتا
mayor	مہاپور
hog	خنزیر
hog	خوک
hog	سور
swine	خنزیر
swine	خوک
swine	سور
pig	خنزیر
pig	خوک
pig	سور
diuretic	پیشاب آور
diuresis	کثرت پیشاب
diurnal	روزانہ
diurnal	روز کا
night	رات
night	شب
thanks	شکریہ
thanks	دھنیہ واد
The Inheritance of Loss	دی انہیریٹنس آف لاس
Tokyo	ٹوکیو
cave	گفا
cave	غار
kbit	kb
kByte	kB
weeks	ہفتے
months	مہینے
years	سال
c	صدی
length	لمبائی
annihilated	فنا
annihilated	نا بود
annihilation	بربادی
annihilation	فنا
annihilation	ہلاکت
annihilation	نیستی
annihilation	قلع قمع
annonated	مشرہ
annotation	شرح
annotator	شارح
cash	نقد
candle flame	لو
modality	صورت
mode	انداز
modal	ظاہری
modality	جہت
mode	ڈول
mode	ڈھال
turn	باری
turn	داؤن
turn	دفعہ
turn	راہ سے ہٹانا
turn	تبدیل کرنا
turn	بار
turn	بارہ
turn	پھیر
turn against	پھر جانا
tin pot	بے وقعت
tin	قلعی
by	سے
ocean	بحر
ocean	سمندر
ocean	محیط
Galician	گاليشيائي
Gallegan	گاليشيائي
nourish	غذا بہم پہنچانا
nourish	حوصلہ افزائ کرنا
noun	جگہ
noun	نام
noun	حالت
noun	اسم
Duryodhana	دریودھن
hopeless	نا امیدی
hope	امید
tendency	رجحان
institute	قائم کرنا
institute	ادارہ
institute	قائدہ
institute	رسم
instinctively	خود بہ خود
institute	چال کرنا
tallyho	لش لش
tally	ایک کھاتے کا دوسرے سے ہم آہنگ ہونا
talon	شت
talon	چنگل پنجہ
