#hash-mark	hamork
#pound-sign	pawndsoyn
%	p'rsent
&	'nd and
adopted	'dopt'd
adoptee	'doptYy
adoptees	'doptYyz
adopter	'dopt'r
adopters	'dopt'rz
adopting	'dopt'N
adoption	'dopS'n
adoptions	'dopS'nz
adoptive	'dopt'v
adopts	'dopts
ador	'dcr
adora	'dcr'
adorabelle	ad'r'b'l
adorable	'dcr'b'l
adoration	ad'reyS'n
adore	'dcr
adored	'dcrd
adoree	'd'rYy
adorees	'd'rYyz
adores	'dcrz
adoring	'dcr'N
adorn	'dcrn
adorna	'dcrn'
adorned	'dcrnd
adorning	'dcrn'N
adornment	'dcrnm'nt
adorno	'dcrn'w
adorns	'dcrnz
adra	eydr'
adragna	'drogn'
adrda	eyd'rd'
adrea	odrYy'
adrenal	'drYyn'l
adrenalin	'dren'l'n
adrenaline	'dren'l'n
adria	odrYy'
adrian	eydrYy'n
adriana	eydrYyan'
adriance	'drYy'ns
adriano	'drYyon'w
adriatic	eydrYyat'k
adriel	'drYyl
adrienne	'drYyen
adrift	'drift
adroit	'drcyt
adroitly	'drcytlYy
ads	adz
ads'	adz
adsit	ads't
adss	ads eydYyeses
adstar	adst'r
adsteam	adstYym
adtec	adtek
adulate	adZ'leyt
adulation	adZ'leyS'n
aduliadae	'dWwlYyod'y
adult	'dult ad'lt
adulterate	'dult'reyt
adulterated	'dult'reyt'd
adulterates	'dult'reyts
adulteration	'dult'reyS'n
adulterer	'dult'r'r
adulterers	'dult'r'rz
adulterous	'dult'r's
adultery	'dult'rYy
adulthood	'dulthId
adults	'dults ad'lts
adults'	'dults ad'lts
adusdur	ad'sd'r
advacare	adv'ker
advalue	adv'lWw
advance	'dvans
advance's	'dvans'z
advanced	'dvanst
advancement	'dvansm'nt
advancements	'dvansm'nts
advancer	'dvans'r
advancers	'dvans'rz
advances	'dvans'z
advancing	'dvans'N
advani	'dvonYy
advanta	'dvant'
advanta's	'dvant'z
advantage	'dvant'dZ
advantaged	'dvant'dZd
advantageous	adv'nteydZ's
advantages	'dvant'dZ'z
advantest	'dvant'st
advection	'dvekS'n
advent	advent
adventist	advent'st
adventists	advent's advent'sts
adventure	'dventS'r
adventurer	'dventS'r'r
adventurers	'dventS'r'rz
adventures	'dventS'rz
adventuresome	'dventS'rs'm
adventurism	'dventS'riz'm
adventurous	'dventS'r's
adverb	adv'rb
adverbial	'dvRrbYy'l
adverbs	adv'rbz
adversarial	adv'rserYy'l
adversaries	adv'rserYyz
adversary	adv'rserYy
adverse	'dvRrs advRrs
adversely	'dvRrslYy
adversity	'dvRrs'tYy
advertise	adv'rtoyz
advertised	adv'rtoyzd
advertisement	'dvRrt'zm'nt adv'rtoyzm'nt
advertisements	adv'rtoyzm'nts
advertiser	adv'rtoyz'r
advertiser's	adv'rtoyz'rz
advertisers	adv'rtoyz'rz
advertisers'	advRrtoyz'rz
advertises	adv'rtoyz'z
advertising	adv'rtoyz'N
advertising's	adv'rtoyz'Nz
advertorial	adv'rtcrYy'l
advertorials	adv'rtcrYy'lz
advest	adv'st
advice	'dvoys
advil	advil
advil's	advilz
advisability	advoyz'bil'tYy
advisable	'dvoyz'b'l
advise	'dvoyz
advised	'dvoyzd
advisedly	'dvoyz'dlYy
advisement	'dvoyzm'nt
adviser	'dvoyz'r
adviser's	'dvoyz'rz
advisers	'dvoyz'rz
advisers'	advoyz'rz
advises	'dvoyz'z
advising	'dvoyz'N
advisor	'dvoyz'r
advisories	'dvoyz'rYyz
advisors	'dvoyz'rz
advisory	'dvoyz'rYy
advo	adv'w
advocacy	adv'k'sYy
advocate	adv'k't adv'keyt
advocate's	adv'k'ts
advocated	adv'keyt'd
advocates	adv'k'ts adv'keyts
advocating	adv'keyt'N
advocation	adv'keyS'n
adweek	adwYyk
adwell	'dwel
ady	eydYy
adz	adz
ae	ey
aegean	eydZYy'n
aegerter	eg'rt'r
aegis	YydZ's
aegon	eyg'n
aeltus	alt's
aeneas	anYy's
aeneid	'nYy'd
aeolus	e'wl's
aequitron	eykw'tr'n
aer	er
aerial	erYy'l
aerials	erYy'lz
aerie	erYy
aerien	erYy'n
aeriens	erYy'nz
aeritalia	er'taly'
aero	er'w
aerobatic	er'bat'k
aerobatics	er'bat'ks
aerobic	'ruwb'k
aerobically	'ruwb'klYy
aerobics	'ruwb'ks
aerodrome	er'druwm
aerodromes	er'druwmz
aerodynamic	er'wd'ynam'k
aerodynamically	er'wd'ynam'klYy
aerodynamicist	er'wd'ynam's'st
aerodynamicists	er'wd'ynam's's er'wd'ynam's'sts
aerodynamics	er'wd'ynam'ks
aerodyne	er'doyn
aerodyne's	er'doynz
aeroflot	er'wflot
aeroflot's	er'wflots
aerogenosa	er'dZ'nuws'
aerojet	er'wdZet
aerojets	er'wdZets
aerolift	er'wlift
aerolifts	er'wlifts
aerolineas	er'wlinYy's
aeromar	er'm'r er'wm'r
aeromexico	er'wmeks'kuw
aeromexico's	er'wmeks'kuwz
aeronautic	er'wnot'k
aeronautical	er'not'k'l er'wnot'k'l
aeronauticas	er'wnot'k's
aeronautics	er'not'ks
aeroperu	er'wp'yrWw
aeroperu's	er'wp'yrWwz
aeroquip	er'kwip
aerosmith	er'wsmiT
aerosmith's	er'wsmiTs
aerosol	er'sol
aerosols	er'solz
aerospace	er'wspeys
aerospace's	er'wspeys'z
aerospatiale	er'wsposYyol
aerospatiale's	er'wsposYyolz
aerostar	er'wstor
aerostar's	er'wstorz
aerostars	er'wstorz
aerostat	er'wstat
aerostat's	er'wstats
aerostats	er'wstats
aerotech	er'wtek
aerovias	'r'wvYy'z
aerts	erts
aeschelus	esk'l's
aeschliman	eSlYym'n
aesop	Yysop
aesop's	Yysops
aesthenopia	'sT'nopy'
aesthete	esTYyt
aesthete's	esTYyts
aesthetes	esTYyts
aesthetic	'sTet'k
aesthetically	'sTet'klYy
aesthetics	'sTet'ks
aetna	etn'
aetna's	etn'z
afanasyev	af'neysYy'v
afar	'for
affable	af'b'l
affably	af'blYy
affair	'fer
affair's	'ferz
affairs	'ferz
affect	'fekt
affectation	af'kteyS'n
affected	'fekt'd
affecting	'fekt'N
affection	'fekS'n
affectionate	'fekS'n't
affectionately	'fekS'n'tlYy
affections	'fekS'nz
affective	'fekt'v
affectively	'fekt'vlYy
affects	'fekts
affeldt	af'lt
afferent	af'r'nt
affiant	afYy'nt
affidavit	af'deyv't
affidavits	af'deyv'ts
affiliate	'filYy't 'filYyeyt
affiliate's	'filYyeyts
affiliated	'filYyeyt'd
affiliated's	'filYyeyt'dz
affiliates	'filYy'ts 'filYyeyts
affiliates'	'filYy'ts
affiliating	'filYyeyt'N
affiliation	'filYyeyS'n
affiliations	'filYyeyS'nz
affine	'foyn
affined	'foynd
affines	'foynz
affining	'foyn'N
affinities	'fin'tYyz
affinity	'fin'tYy
affirm	'fRrm
affirmation	af'rmeyS'n
affirmations	af'rmeyS'nz
affirmative	'fRrm't'v
affirmatively	'fRrm't'vlYy
affirmed	'fRrmd
affirming	'fRrm'N
affirms	'fRrmz
affix	'fiks af'ks
affixed	'fikst
affixes	'fiks'z af'ks'z
affixing	'fiks'N
affleck	afl'k
afflerbach	afl'rbok
afflict	'flikt
afflicted	'flikt'd
afflicting	'flikt'N
affliction	'flikS'n
afflictions	'flikS'nz
afflicts	'flikts
afflik	aflik
affluence	aflWw'ns
affluent	aflWw'nt
affolter	af'wlt'r
afford	'fcrd
affordability	'fcrd'bil'tYy
affordable	'fcrd'b'l
affordably	'fcrd'blYy
afforded	'fcrd'd
affording	'fcrd'N
affords	'fcrdz
affricate	afr'k't
affricates	afr'k'ts
affrication	afr'keyS'n
affront	'frunt
affronted	'frunt'd
affronting	'frunt'N
affronts	'frunts
affymax	afYymaks
afghan	afgan
afghani	'fgonYy
afghani's	'fganYyz
afghanis	'fganYyz
afghanistan	'fgan'stan
afghanistan's	'fgan'stanz
afghanistans	'fgan'stanz
afghans	afganz
afheldt	afelt
aficionado	'fYySy'noduw
aficionados	'fiS'nod'wz
afield	'fYyld
afire	'foyr
aflame	'fleym
aflatoxin	afl'toks'n
afloat	'fluwt
aflutter	'flut'r
afmed	afm'd
afonso	'fons'w
afoot	'fUt
aforementioned	'fcrmenS'nd
aforesaid	'fcrsed
aforethought	'fcrTot
afoul	'fawl
afraid	'freyd
afresh	'freS
africa	afr'k'
africa's	afr'k'z
african	afr'k'n
african-american	afr'k'n'mer'k'n
african-americans	afr'k'n'mer'k'nz
africanist	afr'k'n'st
africanist's	afr'k'n'sts
africanists	afr'k'n'sts
africanize	afr'k'noyz
africanized	afr'k'noyzd
africans	afr'k'nz
afridi	'frYydYy
afrikaans	afr'konz
afrikaner	afr'kon'r
afrikanerdom	afr'kon'rd'm
afrikaners	afr'kon'rz
afro	afr'w
afroamerican	afr'w'mer'k'n
afroamericans	afr'w'mer'k'nz
afrocentric	afr'wsentr'k
afsane	'fsoney
afsane's	'fsoneyz
afshar	afS'r
afshar's	afS'rz
aft	aft
after	aft'r
after-room	aft'rWwm
afterall	aft'rol
afterburner	aft'rbRrn'r
afterburners	aft'rbRrn'rz
aftereffect	aft'r'fekt
aftereffects	aft'r'fekts
afterglow	aft'rgluw
afterglows	aft'rgluwz
afterhours	aft'rhaw'rz
afterimage	aft'rim'dZ
afterimages	aft'rim'dZ'z
afterlife	aft'rloyf
afterlives	aft'rloyvz
aftermarket	aft'rmork't
aftermarkets	aft'rmork'ts
aftermath	aft'rmaT
aftermaths	aft'rmaTs
afternoon	aft'rnWwn
afternoon's	aft'rnWwnz
afternoons	aft'rnWwnz
aftershave	aft'rSeyv
aftershaves	aft'rSeyvz
aftershock	aft'rSok
aftershocks	aft'rSoks
aftertaste	aft'rteyst
aftertastes	aft'rteys aft'rteysts
aftertax	aft'rtaks
afterthought	aft'rTot
afterthoughts	aft'rTots
afterward	aft'rw'rd
afterwards	aft'rw'rdz
afula	'fWwl'
afula's	'fWwl'z
ag	ag eygYy
ag's	agz
aga	og'
agache	ag'tS
agache's	ag'tS'z
agaches	ag'tS'z
again	'gen 'geyn
against	'genst 'geynst
agamemnon	ag'memnon
agamemnon's	ag'memnonz
agan	eyg'n
agana	'gon'
aganbegyan	ag'nbegy'n
agans	og'nz
agape	'geyp
agar	eyg'r
agard	ag'rd
agarwal	og'rw'l
agasp	'gasp
agassi	ag'sYy
agassiz	'gas'z
agate	ag't
agates	ag'ts
agatha	ag'T'
agawam	ag'wom
agco	agkuw
age	eydZ
age's	eydZ'z
aged	eydZ'd eydZd
agee	eydZYy
agee's	eydZYyz
ageless	eydZl's
agematsu	ag'matsWw
agence	adZ'ns
agencies	eydZ'nsYyz
agencies'	eydZ'nsYyz
agency	eydZ'nsYy
agency's	eydZ'nsYyz
agenda	'dZend'
agendas	'dZend'z
agent	eydZ'nt
agent's	eydZ'nts
agents	eydZ'nts
agents'	eydZ'nts
ager	eydZ'r
ageratum	'dZer't'm
ageratums	'dZer't'mz
agers	eydZ'rz
agers'	eydZ'rz
agerton	eyg'rt'n
ages	eydZ'z
agfa	agf'
aggarwal	'gorw'l
aggie	agYy
aggies	agYyz
agglomerate	'glom'reyt
agglomeration	'glom'reyS'n
agglutinate	'glWwt'neyt
aggrandize	'grandoyz
aggrandizement	'grandoyzm'nt agr'ndoyzm'nt
aggrandizing	'grandoyz'N agr'ndoyz'N
aggravate	agr'veyt
aggravated	agr'veyt'd
aggravates	agr'veyts
aggravating	agr'veyt'N
aggravation	agr'veyS'n
aggregate	agr'g't agr'g'yt
aggregated	agr'geyt'd
aggregates	agr'g'ts agr'geyts
aggregation	agr'geyS'n
aggress	'gres
aggression	'greS'n
aggressions	'greS'nz
aggressive	'gres'v
aggressively	'gres'vlYy
aggressiveness	'gres'vn's
aggressivity	'gr'siv'tYy
aggressor	'gres'r
aggressors	'gres'rz
aggrey	'grey
aggrieve	'grYyv
aggrieved	'grYyvd
aggy	agYy
aghast	'gast
aghazadeh	ag'zode
agie	agYy
agildo	'gild'w
agile	adZ'l
agilis	'dZil's
agility	'dZil'tYy
agin	'dZYyn
agincourt	adZ'nkcrt
aging	eydZ'N
agins	eyg'nz
agip	eyg'p
agitate	adZ'teyt
agitated	adZ'teyt'd
agitating	adZ'teyt'N
agitation	adZ'teyS'n
agitator	adZ'teyt'r
agitators	adZ'teyt'rz
agitprop	adZ'tprop
agius	eydZYy's
agleam	'glYym
agler	agl'r
aglitter	'glit'r
aglo	'gluw
aglow	'gluw
agna	agn'
agne	agn'
agnella	agnel'
agnelli	agnelYy
agnelli's	agnelYyz
agnellis	agnelYyz
agnello	agnel'w
agner	agn'r
agnes	agn's
agneta	'gnet'
agnew	agnWw agnyWw
agnico	agn'kuw
agnor	agn'r
agnos	agn'ws
agnosio	'gnuwsYy'w
agnostic	'gnost'k
agnostics	'gnost'ks
ago	'guw
agog	'gog
agoglia	'goglYy'
agonies	ag'nYyz
agonist	ag'n'st
agonists	ag'n's ag'n'sts
agonize	ag'noyz
agonized	ag'noyzd
agonizes	ag'noyz'z
agonizing	ag'n'yz'N
agonizingly	ag'noyz'NlYy
agony	ag'nYy
agora	ag'r'
agoraphobia	'gcr'fuwbYy'
agosta	'guwst'
agostinelli	'g'wstYynelYy
agostini	'g'wstYynYy
agostino	'g'stYyn'w
agosto	'guwst'w
agoura	'gWwr'
agouron	'gWwr'n
agra	agr'
agrarian	'grerYy'n
agrarianism	'grerYy'niz'm
agrawal	'graw'l
agree	'grYy
agreeable	'grYy'b'l
agreed	'grYyd
agreeing	'grYy'N
agreement	'grYym'nt
agreement's	'grYym'nts
agreements	'grYym'nts
agrees	'grYyz
agregable	'gredZ'b'l
agregious	'grYydZYy's
agresource	agr'scrs ogr'scrs
agresta	'grest'
agresti	'grestYy
agrexco	'greksk'w
agri	agrYy
agribank	agr'baNk
agribusiness	agr'bizn's
agrico	'grYyk'w
agricola	agr'kuwl'
agricole	agr'kuwl
agricultural	agr'kultS'r'l
agriculturalist	agr'kultS'r'l'st
agriculturally	agr'kultS'r'lYy
agriculture	agr'kultS'r
agriculture's	agr'kultS'rz
agrifuel	agr'fyWwl
agrifuels	agr'fyWwlz
agrigenetics	agr'dZ'net'ks
agrippa	'grip'
agrivisor	agr'voyz'r
agro	agr'w
agrochemical	agr'wkem'k'l
agrochemicals	agr'wkem'k'lz
agroindustrial	agr'w'dustrYy'l
agrokomerc	agr'k'wmRrk
agronomist	'gron'm'st
agronomists	'gron'm's 'gron'm'sts
agrosiand	'gruwsYy'nd
aground	'grawnd
agrusa	'grWws'
agua	ogw'
aguacate	agw'keyt
aguadilla	ogw'dil'
aguado	'gwod'w
aguanga	'gwong'
aguascalientes	ogw'sk'lyent's
aguayo	'gwey'w
agudelo	'gWwdeyl'w
aguero	'ger'w
aguiar	ogwYy'r
aguila	'gwYyl'
aguilar	ag'l'r
aguilera	'gwYyler'
aguillar	ag'l'r
aguillard	ag'l'rd
aguillon	'gwYylon
aguilo	'gwYyl'w
aguinaga	'gWwYynog'
aguirra	'gwir'
aguirra's	'gwir'z
aguirre	'gwir'y
aguirre's	'gwir'yz
agustin	'gost'n
ah	o
aha	oho
ahab	eyhab
ahah	oh'
aharon	ah'r'n
ahart	'hort
ahasuerus	'haS'wer's
ahaulsie	'holsYy
ahead	'hed
ahearn	'hRrn
aherin	o'r'n
ahern	'hRrn
aherne	'hRrn
ahh	o
ahl	ol
ahlberg	olb'rg
ahlborn	olb'rn
ahlen	'leyn ol'n
ahlers	ol'rz
ahles	ey'lz
ahlf	olf
ahlgren	olgr'n
ahlgrim	olgr'm
ahlin	ol'n
ahlman	olm'n
ahlquist	olkwist
ahlquist's	olkwists
ahlquists	olkwists
ahlstrand	olstr'nd
ahlstrom	olstr'm
ahluwalia	'lWwoly'
ahmad	om'd
ahmadi	'modYy
ahmann	om'n
ahmanson	om'ns'n
ahmanson's	om'ns'nz
ahmansons	om'ns'nz
ahmed	om'd
ahmeek	umYyk
ahmoudi	'mWwdYy
ahn	an
ahnell	'nel
ahner	on'r
aho	oh'w
ahola	ah'l'
ahold	'huwld
ahold's	'huwldz
aholds	'huwldz
ahonen	'huwn'n
ahoskie	'hoskYy
ahoy	'hcy
ahr	or
ahranat	'ron't
ahren	or'n
ahrendt	or'nt
ahrens	or'nz
ahs	oz
ahsahka	'sok'
ahuja	'hWwy'
ahumada	'yWwmod'
ahwahnee	'wonYy
ai	eyoy oy
aichele	oyk'l
aicher	oyk'r
aichi	'YytSYy
aickin	eyk'n
aid	eyd
aid's	eydz
aida	'yYyd'
aidan	eyd'n
aide	eyd
aide's	eydz
aided	eyd'd
aiden	eyden
aidenn	eyden
aides	eydz
aides'	eydz
aidid	oydYyd
aidid's	oydYydz
aiding	eyd'N
aids	eydz
aiello	oyel'w
aiesha	oyS'
aigner	'nyey eykn'r eyn'r
aiguebelle	oyg'bel
aiken	eyk'n
aikens	eyk'nz
aikey	eykYy
aikin	eyk'n
aikins	oyk'nz
aikman	eykm'n
aikoff	oykof
ail	eyl
ailee	eylYy
aileen	'ylYyn
aileron	eyl'ron
ailerons	eyl'ronz
ailes	eylz oylz
ailey	eylYy
ailing	eyl'N
ailment	eylm'nt
ailments	eylm'nts
ailor	eyl'r
ails	eylz
ailsa	eyls'
ailurophile	'ylUr'f'y'l 'ylUr'f'yl
aim	eym
aim's	eymz
aimal	oym'l
aiman	oym'n
aime	eym
aimed	eymd
aimee	eymYy
aimetti	'ymetYy
aiming	eym'N
aimless	eyml's
aimlessly	eyml'slYy
aimone	eymuwn
aims	eymz
ain't	eynt
aine	eyn
ainge	eyN eyndZ
ainley	eynlYy
ainsberg	eynzb'rg
ainsley	eynslYy
ainslie	eynzlYy
ainsworth	eynsw'rT
ainsworth's	eynzw'rTs
ainu	eynWw
aipac	oypak
aipac's	oypaks
air	er
air force	erfcrs
air's	erz
air-conditioning	erk'ndiS'n'N
airbag	erbag
airbags	erbagz
airbase	erbeys
airbases	erbeys's
airboat	erb'wt
airboats	erb'wts
airborne	erbcrn
airborne's	erbcrnz
airbus	erb's
airbus's	erb's'z
aircal	erk'l
aircal's	erkalz
airco	erk'w
aircoa	erkuw'
aircondition	erk'ndiS'n
airconditioned	erk'ndiS'nd
airconditioner	erk'ndiS'n'r
airconditioning	erk'ndiS'n'N
airconditions	erk'ndiS'nz
aircraft	erkraft
aircraft's	erkrafts
aircrafts	erkrafts
aircrew	erkrWw
aird	erd
airdrop	erdr'p
airdrops	erdr'ps
aired	erd
airedale	erdeyl
airedales	erdeylz
aires	erYyz
airey	erYy
airfare	erfer
airfares	erferz
airfield	erfYyld
airfields	erfYyldz
airflow	erfl'w
airflows	erfl'wz
airfoil	erfcyl
airfoils	erfcylz
airfone	erfuwn
airfones	erfuwnz
airforce	erfcrs
airforces	erfcrs'z
airframe	erfreym
airframes	erfreymz
airfreight	erfreyt
airgas	ergas
airglow	ergluw
airhart	erh'rt
airhead	erhed
airheadz	erhedz
airing	er'N
airington	er'Nt'n
airless	erl's
airlia	erlYy'
airlie	erlYy
airlift	erlift
airlifted	erlift'd
airlifter	erlift'r
airlifters	erlift'rz
airlifting	erlift'N
airlifts	erlifts
airline	erloyn
airline's	erloynz
airliner	erloyn'r
airliner's	erloyn'rz
airliners	erloyn'rz
airlines	erloynz
airlines'	erloynz
airlink	erliNk
airlinks	erliNks
airlock	erlok
airlocks	erloks
airmail	ermeyl
airman	erm'n
airman's	erm'nz
airmen	ermen
airmotive	ermuwt'v
airplane	erpleyn
airplane's	erpl'ynz
airplanes	erpl'ynz
airport	erpcrt
airport's	erpcrts
airporter	erpcrt'r
airporters	erpcrt'rz
airports	erpcrts
airpower	erpaw'r
airs	erz
airshare	erS'r
airship	erSip
airships	erSips
airspace	erspeys
airspaces	erspeys'z
airspeed	erspYyd
airstrike	erstroyk
airstrikes	erstroyks
airstrip	erstrip
airstrips	erstrips
airtight	ertoyt
airtime	ertoym
airtouch	ertutS
airtran	ertran
airwave	erweyv
airwaves	erweyvz
airway	erwey
airway's	erweyz
airways	erweyz
airways'	erweyz
airways's	erweyz'z
airwing	erw'N
airwings	erw'Nz
airworthiness	erwRrDYyn's
airworthy	erwRrDYy
airy	erYy
ais	oyz
aisa	'yYys'
aisha	oyS'
aisle	oy'l oyl
aisles	oy'lz oylz
aisling	eysl'N
aislinn	eysl'n
aist	eyst
aitchison	eytS's'n
aithne	eyTn
aitken	oytk'n
aiton	'Yyt'wn
aiwa	oyw'
aix	eks eyks
aix-en-provence	eks'npr'vons eyks'npr'vons
aix-la-chapelle	eksloS'pel eyksloS'pel
aja	oy'
ajaj	'dZodZ
ajaj's	'dZodZ'z
ajami	eydZomYy
ajar	'dZor
ajax	eydZaks
ajax's	eydZaks'z
ajay	edZ'y
ajinomoto	'dZin'muwt'w
ajito	'dZYyt'w 'hYyt'w
aka	eykeyey ok'
akai	'koy
akaka	'kok'
akali	'kolYy
akamine	ak'moyn
akana	'kon'
akao	'key'w 'kow
akard	ak'rd
akashi	'koSYy
akashi's	'koSYyz
akbar	akb'r okbor
akbash	akb'S
akc	ak
ake	eyk
akebono	akYybuwn'w
akel	'kel
akella	'kel'
aken	eyk'n
akens	eyk'nz
aker	ak'r eyk'r
akerley	'kRrlYy
akerman	ak'rm'n
akers	eyk'rz
akers's	eyk'rz'z
akerson	ak'rs'n
akey	'kYy
akhtar	akt'r
aki	okYy
akiba	'kYyb'
akihito	okYyhYytuw
akiko	'kYyk'w
akimbo	'kimbuw
akin	'kin eyk'n
akins	'kinz eyk'nz
akio	okYy'w
akira	'kYyr'
akita	'kYyt'
akita's	'kYyt'z
akiva	'kYyv'
akiyama	'kYyom'
akkadian	'keydYy'n
akkerman	ak'rm'n
akre	ak'r
akridge	'kridZ
akron	akr'n
aksamit	aks'm't
aksler	aksl'r
akst	akst
akyanama	akyon'm'
akzo	akz'w
akzo's	akz'wz
akzos	akz'wz
al	al
al amein	al'meyn
al's	alz
al-qaeda	olkoyd'
al.	al al'bam'
ala	al' eyl'
alabama	al'bam'
alabama's	al'bam'z
alabaman	al'bam'n
alabamans	al'bam'nz
alabaster	al'bast'r
alachlor	'lakl'r
alachua	'latSWw'
alacrity	'lakr'tYy
aladdin	'lad'n
aladeen	'l'dYyn
alafi	'lofYy
alagappan	'l'gop'n
alagem	al'dZ'm
alagna	'logn'
alagoas	al'guwz
alai	'loy
alaimo	'leym'w
alain	'leyn
alaine	'leyn
alair	'ler
alam	'lam
alamance	al'mans
alamco	'lamk'w
alameda	al'mYyd'
alamein	al'meyn
alamillo	al'mil'w
alamito	al'mYyt'w
alamitos	al'mYyt'ws
alamo	al'm'w
alamodome	al'm'wduwm
alamos	al'm'wz
alamosa	al'muws'
alamoud	al'mWwd
alamoudi	al'mWwdYy ol'mWwdYy
alan	al'n
alan's	al'nz
alana	'lan'
alanco	'lank'w
aland	al'nd
alane	'leyn
alanis	'lon's
alaniz	al'n'z
alann	al'n
alanna	'lon'
alar	eylor
alarcon	'lorkon
alard	'lord
alaric	al'r'k
alarica	'l'rYyk'
alarice	'lor's
alarid	'ler'd
alarie	'lerYy
alarm	'lorm
alarm's	'lormz
alarmed	'lormd
alarming	'lorm'N
alarmingly	'lorm'NlYy
alarmist	'lorm'st
alarmists	'lorm'sts
alarms	'lormz
alaron	'ler'n
alas	'las
alaska	'lask'
alaska's	'lask'z
alaskamen	'lask'm'n
alaskan	'lask'n
alaskans	'lask'nz
alastair	al'ster
alaster	al'st'r
alatas	'lot's
alatorre	'l'tcrYy
alayne	'leyn
alba	alb'
albach	alb'k
albacore	alb'kcr
alban	olb'n
albanese	'lb'neyzYy
albani	'lbonYy
albani's	'lbonYyz
albania	'lbeynYy'
albania's	'lbeynYy'z
albanian	'lbeynYy'n
albanians	'lbeynYy'nz
albank	'lbaNk
albano	'lbon'w
albans	alb'nz
albany	olb'nYy
albany's	olb'nYyz
albarado	'lb'rod'w
albarran	albar'n
albashaun	alb'Son
albatross	alb'tros
albatrosses	alb'tros'z
albaugh	'lbo
albea	albYy'
albee	'lbYy
albeit	'lbYy't
albemarle	alb'mor'l
alben	olb'n
albendazole	olb'nd'zuwlYy
alber	alb'r
alberding	alb'rd'N
alberg	alb'rg
albergo	'lberg'w
alberico	'lb'rYyk'w
albern	alb'rn
albers	olb'rz
alberson	alb'rs'n
albert	alb'rt
albert's	alb'rts
alberta	'lbRrt'
alberthal	alb'rTol
alberti	'lbertYy
albertina	'lb'rtYyn'
albertine	alb'rtYyn
albertini	'lb'rtYynYy
alberto	'lbRrt'w
alberts	alb'rts
albertsen	alb'rts'n
albertson	alb'rts'n
albertson's	alb'rts'nz
albertus	'lbRrt's
albertville	alb'rtvil
alberty	'lbRrtYy
albie	olbYy
albin	alb'n
albina	'lbYyn'
albini	'lbYynYy
albinia	'lbYynYy'
albino	'lboynuw
albion	albYy'n
albiric	'lboyr'k
albo	alb'w
albrecht	olbrekt
albright	olbroyt
albright's	olbroyts
albrightsville	olbroytsv'l
albritton	albr't'n
albro	albr'w
albukhari	'lbyWwkorYy
album	alb'm
album's	alb'mz
albumin	'lbyWwm'n
albums	alb'mz
albunex	albyWwn'ks
albuquerque	alb'k'rkYy
albury	alb'rYy
albus	alb's
albuterol	albyWwt'r'l
alcala	'lkol'
alcan	alkan
alcan's	alkanz
alcantar	alkant'r
alcantara	'lk'ntor'
alcaraz	'lkor'z
alcasa	'lkos'
alcatel	alk'tel
alcatel's	alk'telz
alcatraz	alk'traz
alcazar	olk'zor
alcee	alsYy
alcester	oltS'st'r
alchemically	'lkem'klYy
alchemist	alk'mist
alchemy	alk'mYy
alcide	alsoyd
alcids	als'dz
alcina	'ltSYyn'
alco	alk'w
alco's	alk'wz
alcoa	alk'w'
alcoa's	'lkuw'z
alcocer	'lkuws'r
alcock	'lkok
alcohol	alk'hol
alcohol-drenched	alk'holdrentSt
alcoholic	alk'hol'k
alcoholics	alk'hol'ks
alcoholism	alk'holiz'm
alcon	'lkon
alcorn	'lkcrn
alcorta	'lkcrt'
alcott	alkot
alcove	alkuwv
alcoves	alkuwvz
alda	old'
aldaco	'ldok'w
aldama	'ldom'
aldana	'ldan'
aldape	'ldop'y
alday	ald'y
aldebaran	'ldeb'r'n
alden	old'n
aldenville	old'nv'l
alder	old'r
aldercy	'ldRrkYy
alderete	ald'rYyt
alderfer	ald'rf'r
alderidge	old'r'dZ oldr'dZ
alderman	ald'rm'n old'rm'n
aldermen	old'rm'n
alderson	ald'rs'n old'rs'n
alderton	old'rt'n
aldi	oldYy
aldicarb	old'korb
aldila	aldil'
aldin	'ldYyn
aldinger	old'N'r
aldis	old's
aldo	old'w
aldora	'ldcr'
aldous	old's
aldred	ald'rd oldr'd
aldredge	oldr'dZ
aldrete	oldrYyt
aldric	aldr'k oldr'k
aldrich	oldr'tS
aldrich's	oldr'tS'z
aldridge	oldr'dZ
aldrin	oldr'n
aldrin's	oldr'nz
aldus	old's
aldus's	old's'z
aldwin	oldw'n
aldwyn	oldw'n
aldys	oldYyz
ale	eyl
aleatory	eylYy'tcrYy
alec	al'k
aleda	'leyd'
aledo	'lYyd'w
aleen	'lYyn
alegre	'legrYy
alegrett	al'gr't
alegria	'legrYy'
alehouse	eylhaws
aleichem	'leh'm 'leyh'm
alejandre	'l'yyondr'y
alejandro	'l'yhondr'w 'l'yyondr'w
alejo	'ley'w
alejos	'ley'wz
aleksander	al'ksand'r
aleksandr	al'ksand'r
alem	'lem
aleman	eylm'n
alena	'leyn'
alendrin	'lendr'n
alene	'lYyn
alenia	'lYynYy'
aleo	olYy'w
aleph	ol'f
aleria	'lYyrYy'
aleron	'l'ron
alert	'lRrt
alerted	'lRrt'd
alerting	'lRrt'N
alertly	'lRrtlYy
alertness	'lRrtn's
alerts	'lRrts
ales	eylz
aleshire	'l'ySir'y
alesi	'lesYy
alessandra	al'sandr'
alessandra's	al'sandr'z
